"OAFID","solar","GroupName","X..Repaid","TotalEnrolledSeasons","NewMember","Treatment","DistrictName","SiteName","Maize.acres","Cookstove.qty","Maize.adoption","TotalCredit"
43141,0,"Nyaksure Farmers",27.1,2,"False","T","Kabondo","Andingo Opanga",0.25,1,1,7520
42509,1,"Thucidep Farmers",3.5,2,"False","T","Kabondo","Andingo Opanga",0.5,0,1,14065
44278,1,"Okano wach",49.3,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,8775
44284,1,"Okano wach",27.9,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,10215
44280,1,"Okano wach",16.8,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,13795
44283,1,"Okano wach",26.1,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,7870
44282,1,"Okano wach",20.4,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,11260
44271,1,"Nyaksure Farmers",19.4,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,14895
44268,0,"Nyaksure Farmers",26.1,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,5920
44272,1,"Nyaksure Farmers",10.8,1,"True","T","Kabondo","Andingo Opanga",0.25,1,1,14650
39781,0,"Nyadero Jikaza",17.5,2,"False","T","Kabondo","Andingo Opanga",0.5,0,1,7975
39758,0,"Nyadero Jikaza",29.1,2,"False","T","Kabondo","Andingo Opanga",0.75,0,1,8590
45021,0,"Nyadero Jikaza",11,1,"True","T","Kabondo","Andingo Opanga",0.5,0,1,13155
44276,0,"Nyaksure Farmers",31.2,1,"True","T","Kabondo","Andingo Opanga",0.25,1,1,9455
44270,0,"Nyaksure Farmers",25.3,1,"True","T","Kabondo","Andingo Opanga",0.25,0,1,5920
44298,1,"Ondiegi farmers",86.1,1,"True","T","Kabondo","Andingo Opanga",0.75,0,1,12170
44306,0,"Ondiegi farmers",20.4,1,"True","T","Kabondo","Andingo Opanga",0.5,0,1,8170
44299,0,"Ondiegi farmers",16.3,1,"True","T","Kabondo","Andingo Opanga",0.5,0,1,10210
44307,1,"Ondiegi farmers",14,1,"True","T","Kabondo","Andingo Opanga",0.5,0,1,9975
